,Variable,Cutoff,N,Events,% of Events,Non-Events,% of Non-Events,WoE,IV
21,IA,Not Available,2312,1651,0.07910876857,661,0.0724860182,-0.08743003193,0.0005790272758
0,NOB,Manufacturer,8213,5914,0.2833732631,2299,0.2521109771,-0.1168956035,0.003654423786
1,NOB,Retailer,7914,5370,0.2573071394,2544,0.2789779581,0.08086230909,0.001752352438
2,NOB,Service Provider and Others,4525,2930,0.1403929085,1595,0.1749095296,0.2198238853,0.007587577753
3,NOB,Trader - Retailer,3,2,0.00009583133685,1,0.0001096611471,0.1348053916,0.000001864332981
4,NOB,Trader - Wholesaler/Distributor,7,6,0.0002874940105,1,0.0001096611471,-0.9638068971,0.0001713965404
5,NOB,Wholesaler/Distributor,7030,5095,0.2441303306,1935,0.2121943196,-0.1401997681,0.004477421344
6,NOB,nan,2297,1553,0.07441303306,744,0.08158789341,0.09204978382,0.0006604443439
0,Entity,Others,80,60,0.002874940105,20,0.002193222941,-0.2706597165,0.0001845133744
1,Entity,Partnership,2578,1998,0.09573550551,580,0.06360346529,-0.4089212835,0.01313947513
2,Entity,Private Limited,1444,1105,0.05294681361,339,0.03717512885,-0.3536479344,0.005577623737
3,Entity,Properitor,25887,17707,0.8484427408,8180,0.8970281829,0.05568468113,0.002705464853
0,DAU,0,129,62,0.002970771442,67,0.007347296853,0.9055108065,0.003962991054
1,DAU,1-3,1750,1153,0.05524676569,597,0.06546770479,0.1697471653,0.001734975438
2,DAU,11-15,5591,3795,0.1818399617,1796,0.1969514201,0.07983013117,0.00120634971
3,DAU,16-20,5346,3795,0.1818399617,1551,0.1700844391,-0.06683195452,0.0007856445507
4,DAU,21-25,4561,3333,0.1597029229,1228,0.1346638886,-0.1705333975,0.004269991584
5,DAU,26-30,3595,2791,0.1337326306,804,0.08816756223,-0.4166033922,0.01898256204
6,DAU,4-6,4285,2816,0.1349305223,1469,0.161092225,0.177217031,0.004636299287
7,DAU,7-10,4732,3125,0.1497364638,1607,0.1762254633,0.1628873757,0.004314723613
